date,USD,EUR
1/1/2021,7.4194,9.1164
1/2/2021,7.4194,9.1164
1/3/2021,7.4194,9.1164
1/4/2021,7.4194,9.1164
1/5/2021,7.3602,9.0382
1/6/2021,7.3866,9.0656
1/7/2021,7.33,9.0397
1/8/2021,7.2733,8.9342
1/9/2021,7.2733,8.9342
1/10/2021,7.2733,8.9342
1/11/2021,7.349,8.9968
1/12/2021,7.4431,9.0629
1/13/2021,7.4608,9.0693
1/14/2021,7.4285,9.0552
1/15/2021,7.3885,8.9815
1/16/2021,7.3885,8.9815
1/17/2021,7.3885,8.9815
1/18/2021,7.3877,8.9635
1/19/2021,7.4952,9.0457
1/20/2021,7.4485,9.0235
1/21/2021,7.4367,9.0232
1/22/2021,7.3836,8.9597
1/23/2021,7.3836,8.9597
1/24/2021,7.3836,8.9597
1/25/2021,7.3985,9.0044
1/26/2021,7.3797,8.9778
1/27/2021,7.3835,8.955
1/28/2021,7.3544,8.9276
1/29/2021,7.3723,8.9216
1/30/2021,7.3723,8.9216
1/31/2021,7.3723,8.9216
2/1/2021,7.3216,8.8718
2/2/2021,7.2185,8.7345
2/3/2021,7.1372,8.607
2/4/2021,7.1498,8.5995
2/5/2021,7.1324,8.5559
2/6/2021,7.1324,8.5559
2/7/2021,7.1324,8.5559
2/8/2021,7.0789,8.4764
2/9/2021,7.0663,8.5036
2/10/2021,7.0821,8.5664
2/11/2021,7.0513,8.5517
2/12/2021,7.0404,8.5374
2/13/2021,7.0404,8.5374
2/14/2021,7.0404,8.5374
2/15/2021,7.0162,8.4977
2/16/2021,6.9724,8.4607
2/17/2021,6.915,8.4026
2/18/2021,7.004,8.4558
2/19/2021,6.9527,8.3867
2/20/2021,6.9527,8.3867
2/21/2021,6.9527,8.3867
2/22/2021,6.9611,8.4407
2/23/2021,6.994,8.475
2/24/2021,7.0253,8.5418
2/25/2021,7.1357,8.6774
2/26/2021,7.1924,8.7811
2/27/2021,7.1924,8.7811
2/28/2021,7.1924,8.7811
3/1/2021,7.3708,8.942
3/2/2021,7.3029,8.8059
3/3/2021,7.3117,8.7855
3/4/2021,7.3391,8.8679
3/5/2021,7.4524,8.9768
